pathway,pval,padj,log2err,ES,NES,size,leadingEdge
WP_BURN_WOUND_HEALING,8.310542732358333e-22,4.1448831877637185e-19,1.2125445676906186,0.7701800544223764,2.7831136633095306,95,
WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA,8.844809237188321e-18,3.52907888563814e-15,1.0864405425824981,0.8127095307749072,2.723743417973986,59,
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,4.94064686983622e-24,3.2855301684410865e-21,1.270913044496187,0.6673836869974767,2.6474869201831317,195,
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,1.7445004867765963e-16,5.800464118532183e-14,1.047626488498816,0.7073997516627043,2.603392943648863,103,
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,2.2656810348845088e-15,6.45719094942085e-13,1.0073179568744748,0.6870928236695569,2.5554262383213153,112,
REACTOME_INTERLEUKIN_10_SIGNALING,1.0513857898324373e-12,1.9068315006506476e-10,0.9101197347744591,0.8238359775549828,2.539362469553501,39,
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,9.963086842507369e-13,1.9068315006506476e-10,0.9101197347744591,0.7269006315356467,2.5360097812375297,72,
KEGG_LEISHMANIA_INFECTION,4.662583860036603e-12,7.751545667310852e-10,0.8870749883998732,0.7239253625491957,2.491528761762739,67,
REACTOME_COMPLEMENT_CASCADE,4.064382221169586e-11,5.405628354155549e-9,0.851339057116899,0.7501876192139161,2.4691616310015414,54,
REACTOME_NEUTROPHIL_DEGRANULATION,2.1561175639016767e-31,4.301454539983845e-28,1.453344668564937,0.5771055066690336,2.4601299658358275,451,
WP_MICROGLIA_PATHOGEN_PHAGOCYTOSIS_PATHWAY,1.0165091159630424e-10,1.1929033449095703e-8,0.8390889356212738,0.7934650942281891,2.4457483480676485,39,
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,1.1689043473315207e-10,1.2955356516257688e-8,0.826657301178302,0.7857600867913721,2.4404408626509135,40,
WP_COMPLEMENT_SYSTEM,6.227494562826515e-12,9.556808963722229e-10,0.8870749883998732,0.6841889700403821,2.4361169696868767,85,
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,1.259525273278702e-13,2.7919476891011226e-11,0.9436322252328375,0.6392073652518455,2.403715153582449,126,
KEGG_HEMATOPOIETIC_CELL_LINEAGE,7.58687826271415e-11,9.459888833821706e-9,0.8390889356212738,0.6907096883705132,2.398182801449078,71,
REACTOME_SIGNALING_BY_INTERLEUKINS,1.862556584444673e-25,1.8579001929835612e-22,1.3110147627406066,0.566109366234999,2.3945538433969027,404,
WP_ALLOGRAFT_REJECTION,2.0379252113415986e-10,2.0328303983132447e-8,0.826657301178302,0.6782565066792406,2.3846139269529263,76,
WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS,2.3001541483031865e-10,2.185146440888027e-8,0.826657301178302,0.6798610537947181,2.3838502297860615,75,
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,1.2864649595880147e-9,1.1665898156264043e-7,0.7881868108002371,0.7009124325311977,2.365768724909122,60,
WP_COMPLEMENT_AND_COAGULATION_CASCADES,3.644699810059318e-9,2.908470448427336e-7,0.7749390301364363,0.71184848437362,2.342972504056673,54,
PID_FRA_PATHWAY,1.2669720210264521e-8,8.153578006283136e-7,0.7477396631498854,0.7716112483151584,2.321355564865111,35,
WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY,1.7220848851608757e-10,1.8081891294189195e-8,0.826657301178302,0.6357157481872748,2.320679381737472,99,
WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING_PATHWAY,3.4956430111049814e-14,8.717259758943047e-12,0.9653277542260832,0.5827501795024297,2.317761665619816,194,
REACTOME_ANTIMICROBIAL_PEPTIDES,5.415383581984405e-8,3.001025068349691e-6,0.7195128263389107,0.7727199878014428,2.308825266058142,33,
WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION,8.959172949323309e-8,4.468387508475e-6,0.7049757151672383,0.7208004792049796,2.2833187782241837,44,
WP_DEVELOPMENT_OF_URETERIC_COLLECTION_SYSTEM,1.720702117823407e-8,1.0402426439568779e-6,0.7337619883564803,0.6844081360803889,2.2793334806920234,58,
REACTOME_FCGR_ACTIVATION,6.321455644668076e-8,3.4084605435440033e-6,0.7049757151672383,0.8679539975412981,2.272242296907612,18,
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,1.0902955953771169e-7,4.9127541794316545e-6,0.7049757151672383,0.8047452723847236,2.2706083288756416,26,
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,7.8037067356319e-8,3.991896137842471e-6,0.7049757151672383,0.8659732400074899,2.2670568135052807,18,
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,2.3060789000509447e-7,9.535301518277078e-6,0.6901324587967956,0.7362461770166954,2.2496301939648355,38,
WP_ACUTE_VIRAL_MYOCARDITIS,7.042841739997072e-9,4.840375413246999e-7,0.7614608014455848,0.6379762848237186,2.247630430451191,80,
WP_HEART_DEVELOPMENT,2.731306732898904e-7,1.0478763331025603e-5,0.674962860011025,0.7336801562518911,2.2417896129593964,38,
WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE,9.549919400584464e-8,4.53621171527762e-6,0.7049757151672383,0.6639805280226313,2.2252877865725806,59,
KEGG_ASTHMA,1.1081400404733054e-7,4.9127541794316545e-6,0.7049757151672383,0.8136116960102215,2.2243998237298452,23,
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,4.5159093212347435e-7,1.6380434719751478e-5,0.674962860011025,0.6999539541493428,2.217282109973412,44,
PID_IL4_2PATHWAY,1.4433663020898686e-7,6.2598168971071475e-6,0.6901324587967956,0.665018075942668,2.21475737334524,58,
REACTOME_PD_1_SIGNALING,2.087961430245194e-6,5.562093773743067e-5,0.6272567397185284,0.815372936403919,2.1911065608013227,21,
WP_IL1_AND_MEGAKARYOCYTES_IN_OBESITY,4.911879963155115e-7,1.74985723687401e-5,0.6594443980379349,0.8074961040682693,2.183834225367889,22,
WP_PROSTAGLANDIN_SIGNALING,8.232298979902564e-7,2.6923666335910846e-5,0.6594443980379349,0.7691983185283129,2.18182010741062,28,
